[2025-09-03 09:07:18] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:07:26] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:07:28] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:07:36] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:07:45] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:07:46] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:07:56] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:08:06] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:08:16] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:08:26] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:08:36] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:08:37] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:08:38] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:08:40] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:08:45] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:08:45] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:08:46] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:08:49] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:08:49] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:08:54] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:08:56] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:08:59] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:09:02] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:09:06] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:09:07] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:09:12] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:09:16] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:09:22] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:09:26] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:09:32] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:09:36] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:09:36] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:09:40] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:09:42] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:09:45] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:09:50] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:09:52] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:09:56] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:09:56] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:10:00] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:10:02] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:04] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:05] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
